"num","conm","tic","gvkey_chr","cusip","first_date","last_date","fds","Num_Articles","Num_Duplicates","Downloaded","Num_Files"
"144","KATE SPADE & CO","KATE",6768,"485865109",2004-01-31,2008-11-30,"LIZC",208,3,1,3
"145","LOCKHEED MARTIN CORP","LMT",6774,"539830109",2004-01-31,2018-06-30,"LCKHED",805,298,1,9
"146","RANGE RESOURCES CORP","RRC",6788,"75281A109",2007-12-31,2018-05-31,"LOMK",78,56,1,1
"147","LOWE'S COMPANIES INC","LOW",6829,"548661107",2004-01-31,2018-06-30,"LOWCO",456,204,1,5
"148","MARATHON OIL CORP","MRO",7017,"565849106",2004-01-31,2018-06-30,"USSTEL",437,161,1,5
"149","HOST HOTELS & RESORTS INC","HST",7063,"44107P104",2007-03-31,2018-06-30,"MARIOT",165,88,1,2
"150","MARSH & MCLENNAN COS","MMC",7065,"571748102",2004-01-31,2018-06-30,"MM",356,73,1,4
"151","MARSHALL & ILSLEY CORP","MI.1",7067,"571837103",2004-01-31,2011-06-30,"MRIS",189,32,1,2
"152","MAY DEPARTMENT STORES CO","MAY.2",7127,"577778103",2004-01-31,2005-07-31,"MAYDS",101,0,1,2
"153","MCCORMICK & CO INC","MKC",7146,"579780206",2004-01-31,2018-06-30,"MCORMK",164,27,1,2
"154","S&P GLOBAL INC","SPGI",7163,"78409V104",2004-01-31,2018-06-30,"MCGRWH",332,163,1,4
"155","MEDCO HEALTH SOLUTIONS INC","MHS",7186,"58405U102",2004-01-31,2012-03-31,"MEDHTH",222,48,1,3
"156","MELLON FINANCIAL CORP","MEL.3",7238,"58551A108",2004-01-31,2007-06-30,"MNBP",134,0,1,2
"157","CVS HEALTH CORP","CVS",7241,"126650100",2004-01-31,2018-06-30,"MVILLE",212,142,1,3
"158","MERCK & CO","MRK",7257,"58933Y105",2004-01-31,2018-06-30,"SCHPLO",431,326,1,5
"159","MERRILL LYNCH & CO INC","MER",7267,"590188108",2004-01-31,2008-12-31,"MERLY",728,19,1,8
"160","MICRON TECHNOLOGY INC","MU",7343,"595112103",2004-01-31,2018-06-30,"MICT",507,194,1,6
"161","MOTOROLA SOLUTIONS INC","MSI",7585,"620076307",2004-01-31,2018-06-30,"MTROL",146,84,1,2
"162","MURPHY OIL CORP","MUR",7620,"626717102",2005-08-31,2017-06-30,"MURP",227,81,1,3
"163","MYLAN NV","MYL",7637,"N59465109",2004-04-30,2018-06-30,"MYLN",658,223,1,7
"164","BANK OF AMERICA CORP","BAC",7647,"060505104",2004-01-31,2018-06-30,"NCNBCO",3447,1931,1,35
"165","NATIONAL CITY CORP","NCC",7711,"635405103",2004-01-31,2008-12-31,"NATCOR",208,15,1,3
"166","TENET HEALTHCARE CORP","THC",7750,"88033G407",2004-01-31,2016-03-31,"NME",449,86,1,5
"167","NATIONAL SEMICONDUCTOR CORP","NSM.2",7772,"637640103",2004-01-31,2011-08-31,"NATSMC",187,31,1,2
"168","NEW YORK TIMES CO  -CL A","NYT",7866,"650111107",2004-01-31,2010-11-30,"NYT",433,38,1,5
"169","NEWELL BRANDS INC","NWL",7875,"651229106",2004-01-31,2018-06-30,"NWL",450,106,1,5
"170","NEWMONT MINING CORP","NEM",7881,"651639106",2004-01-31,2018-06-30,"NEWMNT",393,117,1,4
"171","NOBLE ENERGY INC","NBL",7912,"655044105",2007-10-31,2018-06-30,"NOBAFF",201,111,1,3
"172","NORFOLK SOUTHERN CORP","NSC",7923,"655844108",2004-01-31,2018-06-30,"NRFWST",485,219,1,5
"173","EVERSOURCE ENERGY","ES",7970,"30040W108",2009-03-31,2018-06-30,"NEUTS",93,35,1,1
"174","XCEL ENERGY INC","XEL",7977,"98389B100",2004-01-31,2018-06-30,"NORSPW",253,88,1,3
"175","NORTHERN TRUST CORP","NTRS",7982,"665859104",2004-01-31,2018-06-30,"NRTHNT",331,78,1,4
"176","NORTHROP GRUMMAN CORP","NOC",7985,"666807102",2004-01-31,2018-06-30,"NRTHRP",562,168,1,6
"177","WELLS FARGO & CO","WFC",8007,"949746101",2004-01-31,2018-06-30,"NWBC",900,641,1,9
"178","OCCIDENTAL PETROLEUM CORP","OXY",8068,"674599105",2004-01-31,2018-06-30,"OCCID",368,131,1,4
"179","PNC FINANCIAL SVCS GROUP INC","PNC",8245,"693475105",2004-01-31,2018-06-30,"PITNAT",323,131,1,4
"180","PPG INDUSTRIES INC","PPG",8247,"693506107",2004-01-31,2018-06-30,"PPG",237,101,1,3
"181","PG&E CORP","PCG",8264,"69331C108",2004-01-31,2018-06-30,"PGASEL",552,177,1,6
"182","SEMPRA ENERGY","SRE",8272,"816851109",2004-01-31,2018-06-30,"SMPEGY",372,184,1,4
"183","PENNEY (J C) CO","JCP",8446,"708160106",2004-01-31,2013-11-30,"PENYJC",503,194,1,6
"184","APPLIED BIOSYSTEMS INC","ABI.3",8488,"038149100",2004-01-31,2008-10-31,"PRKELM",74,2,1,1
"185","PHELPS DODGE CORP","PD",8536,"717265102",2004-01-31,2007-02-28,"PDC",267,0,1,3
"186","ALTRIA GROUP INC","MO",8543,"02209S103",2004-01-31,2018-06-30,"PHILM",485,129,1,5
"187","PITNEY BOWES INC","PBI",8606,"724479100",2004-01-31,2017-02-28,"PITBOW",238,57,1,3
"188","PEPCO HOLDINGS INC","POM",8694,"713291102",2007-11-30,2016-02-29,"POTO",110,54,1,2
"189","PRECISION CASTPARTS CORP","PCP",8717,"740189105",2007-06-30,2016-01-31,"PCST",146,106,1,2
"190","PROCTER & GAMBLE CO","PG",8762,"742718109",2004-01-31,2018-06-30,"PRGML",1169,570,1,12
"191","ARCHSTONE INC-REDH","ASN.1",8787,"039583109",2004-12-31,2007-09-30,"PTRAS",49,0,1,1
"192","PUBLIC SERVICE ENTRP GRP INC","PEG",8810,"744573106",2004-01-31,2018-06-30,"PUBSEL",249,148,1,3
"193","RAYMOND JAMES FINANCIAL CORP","RJF",8898,"754730109",2017-03-31,2018-06-30,"RJFIN",10,0,1,1
"194","REEBOK INTERNATIONAL LTD","RBK",9004,"758110100",2004-01-31,2006-01-31,"REEBK",53,0,1,1
"195","ROCKWELL AUTOMATION","ROK",9203,"773903109",2004-01-31,2018-06-30,"RCKWL",318,112,1,4
"196","ROHM AND HAAS CO","ROH",9217,"775371107",2004-01-31,2009-03-31,"ROHA",192,7,1,2
